timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1359051817300,1049,Purge test silo,200,OK,Databank group 1-1,text,true,283,1049
1359051818846,370,Create test silo,200,OK,Databank group 1-1,text,true,24616,289
1359051819366,0,Databank Create test dataset,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 49: http://localhost/jmeter-test/datasets?id=test-1_${nodename},Databank group 1-1,text,false,961,0
1359051819544,0,Add Item from object,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 46: http://localhost/jmeter-test/datasets/test-1_${nodename},Databank group 1-1,text,false,957,0
1359051819715,62,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,62
1359051819919,159,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,123
1359051820236,162,Add Item from object,200,OK,Databank group 1-1,text,true,9815,122
1359051820548,142,Add Item from object,200,OK,Databank group 1-1,text,true,10074,114
1359051820885,67,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,67
1359051821119,98,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,66
1359051821362,140,Add Item from object,200,OK,Databank group 1-1,text,true,9812,112
1359051821636,60,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,60
1359051821784,100,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,73
1359051822001,177,Add Item from object,200,OK,Databank group 1-1,text,true,9812,136
1359051822343,63,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,63
1359051822471,149,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,118
1359051822751,194,Add Item from object,200,OK,Databank group 1-1,text,true,9812,167
1359051823041,59,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,59
1359051823154,95,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,70
1359051823306,130,Add Item from object,200,OK,Databank group 1-1,text,true,9812,101
1359051823493,618,Add Item from object,200,OK,Databank group 1-1,text,true,10072,590
1359051824416,54,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,54
1359051824537,117,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,92
1359051824814,165,Add Item from object,200,OK,Databank group 1-1,text,true,9812,132
1359051825025,55,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,55
1359051825120,92,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,66
1359051825248,138,Add Item from object,200,OK,Databank group 1-1,text,true,9812,110
1359051825424,62,Databank Delete Object Request,404,Not Found,Databank group 1-1,text,false,331,62
1359051825519,101,Databank Create test dataset,200,OK,Databank group 1-1,text,true,9294,72
1359051825653,138,Add Item from object,200,OK,Databank group 1-1,text,true,9815,109
1359051825824,134,Add Item from object,200,OK,Databank group 1-1,text,true,10074,103
