timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency
1359076172944,1,Debug Sampler,200,OK,Fedora group 1-1,text,true,753,0
1359076173220,316,Fedora Delete Object Request,404,Not Found,Fedora group 1-1,text,false,233,315
1359076173636,474,Fedora Create Object Request,201,Created,Fedora group 1-1,text,true,290,474
1359076174223,210,Fedora Create Binary Resource Request,201,Created,Fedora group 1-1,text,true,1193,209
1359076174640,40,Fedora Delete Object Request,404,Not Found,Fedora group 1-1,text,false,233,39
1359076174894,211,Fedora Create Object Request,201,Created,Fedora group 1-1,text,true,290,211
1359076175189,161,Fedora Create Binary Resource Request,201,Created,Fedora group 1-1,text,true,1195,161
1359076175434,115,Fedora Create Binary Resource Request,201,Created,Fedora group 1-1,text,true,1192,115
1359076175610,21,Fedora Delete Object Request,404,Not Found,Fedora group 1-1,text,false,233,20
1359076175725,233,Fedora Create Object Request,201,Created,Fedora group 1-1,text,true,290,233
1359076176062,125,Fedora Create Binary Resource Request,201,Created,Fedora group 1-1,text,true,1191,125
1359076176274,30,Fedora Delete Object Request,404,Not Found,Fedora group 1-1,text,false,233,22
1359076176391,215,Fedora Create Object Request,201,Created,Fedora group 1-1,text,true,290,215
1359076176643,139,Fedora Create Binary Resource Request,201,Created,Fedora group 1-1,text,true,1192,136
1359076176813,18,Fedora Delete Object Request,404,Not Found,Fedora group 1-1,text,false,233,18
1359076176862,139,Fedora Create Object Request,201,Created,Fedora group 1-1,text,true,290,139
1359076177047,94,Fedora Create Binary Resource Request,201,Created,Fedora group 1-1,text,true,1193,94
1359076177180,17,Fedora Delete Object Request,404,Not Found,Fedora group 1-1,text,false,233,17
1359076177234,104,Fedora Create Object Request,201,Created,Fedora group 1-1,text,true,290,103
1359076177384,72,Fedora Create Binary Resource Request,201,Created,Fedora group 1-1,text,true,1192,72
1359076177504,78,Fedora Create Binary Resource Request,201,Created,Fedora group 1-1,text,true,1192,78
1359076177620,17,Fedora Delete Object Request,404,Not Found,Fedora group 1-1,text,false,233,17
1359076177674,113,Fedora Create Object Request,201,Created,Fedora group 1-1,text,true,290,112
1359076177827,108,Fedora Create Binary Resource Request,201,Created,Fedora group 1-1,text,true,1193,108
1359076177971,17,Fedora Delete Object Request,404,Not Found,Fedora group 1-1,text,false,233,17
1359076178028,132,Fedora Create Object Request,201,Created,Fedora group 1-1,text,true,290,132
1359076178200,77,Fedora Create Binary Resource Request,201,Created,Fedora group 1-1,text,true,1192,77
1359076178325,16,Fedora Delete Object Request,404,Not Found,Fedora group 1-1,text,false,233,16
1359076178379,121,Fedora Create Object Request,201,Created,Fedora group 1-1,text,true,290,120
